model;price;date added;power of engine;used;number of previous owners;transmission type;fuel type;fuel consumption;co2 emissions
Audi A6 ;€ 4,500.-;315,000 km;06/2007;103 kW (140 hp);Used;- (Previous Owners);Manual;Diesel;6.3 l/100 km (comb.);- (g/km)
Mercedes-Benz A 45 AMG ;€ 67,900.-;17,400 km;05/2020;310 kW (421 hp);Used;- (Previous Owners);Automatic;Gasoline;8.4 l/100 km (comb.);- (g/km)
Abarth 595 Pista ;€ 17,990.-;29,000 km;01/2019;118 kW (160 hp);Used;1 previous owner;Manual;Gasoline;- (l/100 km);- (g/km)
Audi Q2 ;€ 19,900.-;122,000 km;01/2020;85 kW (116 hp);Used;1 previous owner;Automatic;Diesel;4.8 l/100 km (comb.);126 g/km (comb.)
Volkswagen Golf ;€ 2,950.-;139,800 km;06/1990;66 kW (90 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);0 g/km (comb.)
Opel Mokka-E ;€ 33,900.-;10,000 km;11/2021;100 kW (136 hp);Used;1 previous owner;Automatic;Electric;- (l/100 km);0 g/km (comb.)
Mercedes-Benz E 350 ;€ 28,999.-;130,000 km;09/2016;190 kW (258 hp);Used;2 previous owners;Automatic;Diesel;5.7 l/100 km (comb.);150 g/km (comb.)
BMW 218 ;€ 21,995.-;85,490 km;04/2016;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Mercedes-Benz GLC 350 ;€ 39,900.-;154,900 km;11/2017;190 kW (258 hp);Used;- (Previous Owners);Automatic;Diesel;6 l/100 km (comb.);161 g/km (comb.)
Mercedes-Benz CLA 180 ;€ 15,900.-;122,900 km;01/2017;80 kW (109 hp);Used;1 previous owner;Manual;Diesel;3.9 l/100 km (comb.);101 g/km (comb.)
Volkswagen Passat Variant ;€ 25,590.-;78,300 km;08/2018;115 kW (156 hp);Used;1 previous owner;Automatic;Electric/Gasoline;1.7 l/100 km (comb.);38 g/km (comb.)
Mercedes-Benz A 35 AMG ;€ 52,900.-;1,960 km;06/2022;225 kW (306 hp);Used;1 previous owner;Automatic;Gasoline;8.8 l/100 km;
Mercedes-Benz S 400 ;€ 24,880.-;60,000 km;01/2013;205 kW (279 hp);Used;- (Previous Owners);Automatic;Gasoline;8.2 l/100 km (comb.);191 g/km (comb.)
Audi RS6 ;€ 66,000.-;102,300 km;03/2013;412 kW (560 hp);Used;- (Previous Owners);Automatic;Gasoline;9.8 l/100 km (comb.);- (g/km)
Ford Transit Custom ;€ 14,470.-;138,000 km;06/2015;74 kW (101 hp);Used;1 previous owner;Manual;Diesel;6.5 l/100 km (comb.);172 g/km (comb.)
Audi A5 ;€ 29,990.-;96,000 km;12/2017;210 kW (286 hp);Used;1 previous owner;Automatic;Diesel;5.3 l/100 km (comb.);137 g/km (comb.)
Nissan Qashqai ;€ 12,990.-;120,000 km;04/2016;96 kW (131 hp);Used;- (Previous Owners);Automatic;Diesel;4.6 l/100 km (comb.);- (g/km)
Mercedes-Benz C 250 ;€ 23,990.-;103,858 km;11/2017;150 kW (204 hp);Used;2 previous owners;Automatic;Diesel;4.7 l/100 km;124 g/km (comb.)
Ferrari 458 ;€ 179,458.-;54,300 km;04/2011;416 kW (566 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz CLA 200 ;€ 18,950.-;68,591 km;12/2013;100 kW (136 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);115 g/km (comb.)
Chevrolet Camaro ;€ 69,950.-;10,238 km;08/2019;470 kW (639 hp);Used;3 previous owners;Automatic;Gasoline;- (l/100 km);- (g/km)
Opel Antara ;€ 8,790.-;100,000 km;04/2007;167 kW (227 hp);Used;- (Previous Owners);Automatic;LPG;11.6 l/100 km (comb.);278 g/km (comb.)
Mercedes-Benz C 63 AMG ;€ 26,990.-;204,000 km;07/2009;336 kW (457 hp);Used;2 previous owners;Automatic;Gasoline;13.6 l/100 km (comb.);326 g/km (comb.)
